severity,issue_type,key,details
INFO,BRICKOWL_BOID_NO_COLOR_OK,4495a|55,BOID sem cor validado via catalog/lookup: 723846
INFO,BRICKOWL_BOID_NO_COLOR_OK,4495a|46,BOID sem cor validado via catalog/lookup: 723846
INFO,BRICKOWL_BOID_NO_COLOR_OK,45024pb02|75,BOID sem cor validado via catalog/lookup: 537970
INFO,BRICKOWL_BOID_NO_COLOR_OK,46192|126,BOID sem cor validado via catalog/lookup: 807651
INFO,BRICKOWL_BOID_NO_COLOR_OK,46281c01|40,BOID sem cor validado via catalog/lookup: 838702
INFO,BRICKOWL_BOID_NO_COLOR_OK,46576pls|107,BOID sem cor validado via catalog/lookup: 517242
INFO,BRICKOWL_BOID_NO_COLOR_OK,46582pls|107,BOID sem cor validado via catalog/lookup: 485528
INFO,BRICKOWL_BOID_NO_COLOR_OK,46589c02|25,BOID sem cor validado via catalog/lookup: 912548
INFO,BRICKOWL_BOID_NO_COLOR_OK,4728pb01|75,BOID sem cor validado via catalog/lookup: 461863
INFO,BRICKOWL_BOID_NO_COLOR_OK,47404|101,BOID sem cor validado via catalog/lookup: 410766
INFO,BRICKOWL_BOID_NO_COLOR_OK,47438c01pb02|80,BOID sem cor validado via catalog/lookup: 960577
INFO,BRICKOWL_BOID_NO_COLOR_OK,47674|161,BOID sem cor validado via catalog/lookup: 468575
INFO,BRICKOWL_BOID_NO_COLOR_OK,4839|67,BOID sem cor validado via catalog/lookup: 131729
INFO,BRICKOWL_BOID_NO_COLOR_OK,48448|105,BOID sem cor validado via catalog/lookup: 998803
INFO,BRICKOWL_BOID_NO_COLOR_OK,4904|67,BOID sem cor validado via catalog/lookup: 345782
INFO,BRICKOWL_BOID_NO_COLOR_OK,49265c01|88,BOID sem cor validado via catalog/lookup: 620689
INFO,BRICKOWL_BOID_NO_COLOR_OK,49814pb01|9,BOID sem cor validado via catalog/lookup: 81049
INFO,BRICKOWL_BOID_NO_COLOR_OK,50624|120,BOID sem cor validado via catalog/lookup: 683578
INFO,BRICKOWL_BOID_NO_COLOR_OK,50689pb01|81,BOID sem cor validado via catalog/lookup: 1219519
INFO,BRICKOWL_BOID_NO_COLOR_OK,50689pb02|93,BOID sem cor validado via catalog/lookup: 992037
WARN,BO_COLOR_ID_MISMATCH_FIXUP,51289pb01|66,bo_color_id DB=122 difere do mapeamento BL->BO=0; a usar mapeamento.
INFO,BRICKOWL_BOID_NO_COLOR_OK,51289pb01|0,BOID sem cor validado via catalog/lookup: 22556
INFO,BRICKOWL_BOID_NO_COLOR_OK,51342pb01|56,BOID sem cor validado via catalog/lookup: 151524
INFO,BRICKOWL_BOID_NO_COLOR_OK,51703pb01|80,BOID sem cor validado via catalog/lookup: 973592
INFO,BRICKOWL_BOID_NO_COLOR_OK,52189c03|64,BOID sem cor validado via catalog/lookup: 43424
INFO,BRICKOWL_BOID_NO_COLOR_OK,522cpb05|81,BOID sem cor validado via catalog/lookup: 754437
INFO,BRICKOWL_BOID_NO_COLOR_OK,522pb001|93,BOID sem cor validado via catalog/lookup: 678946
INFO,BRICKOWL_BOID_NO_COLOR_OK,522pb003|56,BOID sem cor validado via catalog/lookup: 989496
INFO,BRICKOWL_BOID_NO_COLOR_OK,522pb010|85,BOID sem cor validado via catalog/lookup: 985038
INFO,BRICKOWL_BOID_NO_COLOR_OK,53657pb01|114,BOID sem cor validado via catalog/lookup: 911023
INFO,BRICKOWL_BOID_NO_COLOR_OK,53666|107,BOID sem cor validado via catalog/lookup: 33956
INFO,BRICKOWL_BOID_NO_COLOR_OK,53980pb03|43,BOID sem cor validado via catalog/lookup: 414529
INFO,BRICKOWL_BOID_NO_COLOR_OK,54031pb01|126,BOID sem cor validado via catalog/lookup: 931164
INFO,BRICKOWL_BOID_NO_COLOR_OK,54169|24,BOID sem cor validado via catalog/lookup: 560954
INFO,BRICKOWL_BOID_NO_COLOR_OK,54173|24,BOID sem cor validado via catalog/lookup: 559990
INFO,BRICKOWL_BOID_NO_COLOR_OK,54252|93,BOID sem cor validado via catalog/lookup: 175674
INFO,BRICKOWL_BOID_NO_COLOR_OK,54300cx4|7,BOID sem cor validado via catalog/lookup: 200483
INFO,BRICKOWL_BOID_NO_COLOR_OK,5446pb01|92,BOID sem cor validado via catalog/lookup: 86920
INFO,BRICKOWL_BOID_NO_COLOR_OK,54701c03|80,BOID sem cor validado via catalog/lookup: 703396
INFO,BRICKOWL_BOID_NO_COLOR_OK,54821pb04|93,BOID sem cor validado via catalog/lookup: 69156
INFO,BRICKOWL_BOID_NO_COLOR_OK,55206c05|64,BOID sem cor validado via catalog/lookup: 202535
INFO,BRICKOWL_BOID_NO_COLOR_OK,57548pb02|128,BOID sem cor validado via catalog/lookup: 887768
INFO,BRICKOWL_BOID_NO_COLOR_OK,57562pb01|128,BOID sem cor validado via catalog/lookup: 230868
INFO,BRICKOWL_BOID_NO_COLOR_OK,5845pls01|93,BOID sem cor validado via catalog/lookup: 394128
INFO,BRICKOWL_BOID_NO_COLOR_OK,5846pls01|75,BOID sem cor validado via catalog/lookup: 744848
INFO,BRICKOWL_BOID_NO_COLOR_OK,5861foam01|61,BOID sem cor validado via catalog/lookup: 203519
INFO,BRICKOWL_BOID_NO_COLOR_OK,5862foam01|41,BOID sem cor validado via catalog/lookup: 159609
INFO,BRICKOWL_BOID_NO_COLOR_OK,5941pls02|80,BOID sem cor validado via catalog/lookup: 721702
INFO,BRICKOWL_BOID_NO_COLOR_OK,59595c00pb36|43,BOID sem cor validado via catalog/lookup: 1373489
INFO,BRICKOWL_BOID_NO_COLOR_OK,5990pb01|120,BOID sem cor validado via catalog/lookup: 888690
INFO,BRICKOWL_BOID_NO_COLOR_OK,5990pb03|47,BOID sem cor validado via catalog/lookup: 966314
INFO,BRICKOWL_BOID_NO_COLOR_OK,5990pb05|64,BOID sem cor validado via catalog/lookup: 155182
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60036stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60036stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60041stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60041stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60042stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60042stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60043stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60043stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60044stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60044stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60045stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60045stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60046stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60046stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60047stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60047stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60048stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60048stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60049stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60049stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60050stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60050stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60050stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60050stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60051stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60051stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60052stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60052stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60053stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60053stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60055stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60055stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60056stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60056stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60056stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60056stk01b (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60057stk01,id_lookup devolveu 0 BOIDs para bl_item_no=60057stk01 (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60058stk01a,id_lookup devolveu 0 BOIDs para bl_item_no=60058stk01a (sem cor).
WARN,BRICKOWL_ID_LOOKUP_EMPTY,60058stk01b,id_lookup devolveu 0 BOIDs para bl_item_no=60058stk01b (sem cor).
