bl_part_id,weight,source
6562,0.22,ALTITEMID
374p01,40.0,ITEMID
3754,10.24,ITEMID
44590,10.24,ALTITEMID
3754p01,10.24,ITEMID
3755,4.99,ITEMID
3761,4.4,ITEMID
3762,3.0,ITEMID
3787,1.31,ITEMID
3788,1.41,ITEMID
3794,0.3,ITEMID
3795,1.74,ITEMID
3811,107.0,ITEMID
3811p01,97.5,ITEMID
3821,0.56,ITEMID
3822,0.56,ITEMID
3823,2.19,ITEMID
35260,2.19,ALTITEMID
3829c01,0.6,ITEMID
3828c01,0.6,ALTITEMID
73081c01,0.6,ALTITEMID
3830,1.02,ITEMID
65122,1.02,ALTITEMID
3831,0.83,ITEMID
3832,2.91,ITEMID
3833,0.3,ITEMID
3834,0.34,ITEMID
15601,0.34,ALTITEMID
15602,0.34,ALTITEMID
52545,0.34,ALTITEMID
86649,0.34,ALTITEMID
3838,0.56,ITEMID
90226,0.56,ALTITEMID
3839,0.57,ITEMID
3840,0.3,ITEMID
3841,0.42,ITEMID
3844,0.64,ITEMID
15606,0.64,ALTITEMID
59600,0.64,ALTITEMID
3846,0.42,ITEMID
3846p47,0.42,ITEMID
3847,0.2,ITEMID
3848,0.5,ITEMID
53610,0.5,ALTITEMID
3849,0.71,ITEMID
3852,0.31,ITEMID
3853,1.64,ITEMID
3854,0.33,ITEMID
3855,1.65,ITEMID
3856,0.62,ITEMID
3857,52.1,ITEMID
2748,52.1,ALTITEMID
3861,2.13,ITEMID
3865,12.86,ITEMID
3867,26.25,ITEMID
6098,26.25,ALTITEMID
57916,26.25,ALTITEMID
3873,0.19,ITEMID
15379,0.19,ALTITEMID
3894,2.2,ITEMID
